property_id,url,title,location,price_preview,bedrooms_preview,bathrooms_preview,city,property_type
01983c0a-efce-736b-8c2b-beeedbd7c8e3,https://www.lamudi.com.ph/property/41032-73-beeedbd7c92c-f017-1983c53-8c74-73b4,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
01983bf2-67da-7723-a519-1a609d6dad5f,https://www.lamudi.com.ph/property/41032-73-1a609d6dada8-6823-1983c3b-a562-776c,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
01983be5-140e-71ee-934b-361a370d52f6,https://www.lamudi.com.ph/property/41032-73-361a370d533f-1457-1983c2e-9394-7237,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
01983bd7-7552-77b3-baca-a4738f65463e,https://www.lamudi.com.ph/property/41032-73-a4738f654687-759b-1983c20-bb13-77fc,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
01983bd3-a05b-743b-adb5-f074eb1daa35,https://www.lamudi.com.ph/property/41032-73-f074eb1daa7e-a0a4-1983c1c-adfe-7484,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
01983bc3-21a0-76c8-8910-2c59676ff32e,https://www.lamudi.com.ph/property/41032-73-2c59676ff377-21e9-1983c0c-8959-7711,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
01983bc0-2f27-76a8-95a3-637372e91320,https://www.lamudi.com.ph/property/41032-73-637372e91369-2f70-1983c09-95ec-76f1,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
01983bbb-1780-740a-9cdc-5f847e6400f8,https://www.lamudi.com.ph/property/41032-73-5f847e640141-17c9-1983c04-9d25-7453,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
01983bb8-fe22-7589-b22e-87922ac7ebe8,https://www.lamudi.com.ph/property/41032-73-87922ac7ec31-fe6b-1983c01-b277-75d2,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
01983bb0-cb45-7718-9f19-b9dccc18b6ba,https://www.lamudi.com.ph/property/41032-73-b9dccc18b703-cb8e-1983bf9-9f62-7761,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
01983b71-9c4d-768d-af13-93ba2709c80c,https://www.lamudi.com.ph/property/41032-73-93ba2709c855-9c96-1983bba-af5c-76d6,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
01983b01-484c-71f8-a331-584a43ec6e22,https://www.lamudi.com.ph/property/41032-73-584a43ec6e6b-4895-1983b4a-a37a-7241,Condo For Rent in Pio Del Pilar,"Pio Del Pilar, Makati",25000.0,1,1,makati,condo
01983af9-feb9-73ab-8e48-71e81ade8ac2,https://www.lamudi.com.ph/property/41032-73-71e81ade8b0b-ff02-1983b42-8e91-73f4,Condo For Rent in Pio Del Pilar,"Pio Del Pilar, Makati",25000.0,2,1,makati,condo
01983ae1-cd6b-7584-a2ca-5fbe783b016f,https://www.lamudi.com.ph/property/41032-73-5fbe783b01b8-cdb4-1983b2a-a313-75cd,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
0198089a-c9f9-773f-bd1a-67020f6c346a,https://www.lamudi.com.ph/property/41032-73-67020f6c34b3-ca42-19808e3-bd63-7788,Condo For Rent in Bel-Air,"Bel-Air, Makati",25000.0,2,1,makati,condo
0198089a-bcf7-762c-bbd0-f94385a62220,https://www.lamudi.com.ph/property/41032-73-f94385a62269-bd40-19808e3-bc19-7675,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
0198089a-b219-79f7-96b4-ddd24fa2cb2f,https://www.lamudi.com.ph/property/41032-73-ddd24fa2cb78-b262-19808e3-96fd-7a40,Condo For Rent in San Antonio,"San Antonio, Makati",25000.0,1,1,makati,condo
01980843-c5ae-777d-b4ef-99d85e6b8841,https://www.lamudi.com.ph/property/41032-73-99d85e6b888a-c5f7-198088c-b538-77c6,Condo For Rent in Bel-Air,"Bel-Air, Makati",25000.0,1,1,makati,condo
01980843-aa24-738d-9d73-fa1bcad34509,https://www.lamudi.com.ph/property/41032-73-fa1bcad34552-aa6d-198088c-9dbc-73d6,Condo For Rent in Bel-Air,"Bel-Air, Makati",25000.0,1,1,makati,condo
019a9587-f02e-7020-969e-bd73aeb5cd3e,https://www.lamudi.com.ph/property/41032-73-bd73aeb5cd87-f077-19a95d0-96e7-7069,Condo For Rent in Bel-Air,"Bel-Air, Makati",28000.0,,1,makati,condo
019a9584-d09c-744e-b632-442553f2ccf2,https://www.lamudi.com.ph/property/41032-73-442553f2cd3b-d0e5-19a95cd-b67b-7497,Condo For Rent in Legazpi Village,"Legazpi Village, Makati",75000.0,1,1,makati,condo
019a9578-0216-750c-8bbc-5a117a3c6259,https://www.lamudi.com.ph/property/41032-73-5a117a3c62a2-25f-19a95c1-8c05-7555,Condo For Rent in Urdaneta,"Urdaneta, Makati",70000.0,2,2,makati,condo
019a956f-4b49-7484-a83e-bf90c5db24db,https://www.lamudi.com.ph/property/41032-73-bf90c5db2524-4b92-19a95b8-a887-74cd,Condo For Rent in Bel-Air,"Bel-Air, Makati",65000.0,1,1,makati,condo
019a9568-cf31-7758-ac35-1ba18d3a6b3e,https://www.lamudi.com.ph/property/41032-73-1ba18d3a6b87-cf7a-19a95b1-ac7e-77a1,Condo For Rent in Guadalupe Viejo,"Guadalupe Viejo, Makati",65000.0,1,1,makati,condo
019a9551-a317-7574-8717-39c8998c63ff,https://www.lamudi.com.ph/property/41032-73-39c8998c6448-a360-19a959a-8760-75bd,Condo For Rent in Poblacion,"Poblacion, Pateros",95000.0,2,2,makati,condo
019a9535-c653-7762-a2f9-aac9e88d5a57,https://www.lamudi.com.ph/property/41032-73-aac9e88d5aa0-c69c-19a957e-a342-77ab,Condo For Rent in Guadalupe Viejo,"Guadalupe Viejo, Makati",80000.0,1,1,makati,condo
019a94e1-a51e-71e9-89e8-7e571269e8be,https://www.lamudi.com.ph/property/41032-73-7e571269e907-a567-19a952a-8a31-7232,Condo For Rent in San Antonio,"San Antonio, Makati",30000.0,1,1,makati,condo
019a94a7-343c-7785-aead-6d932aeccff9,https://www.lamudi.com.ph/property/41032-73-6d932aecd042-3485-19a94f0-aef6-77ce,Condo For Rent in Legazpi Village,"Legazpi Village, Makati",130000.0,2,,makati,condo
019a9478-df13-752c-ac8d-e3ac9788b0e7,https://www.lamudi.com.ph/property/41032-73-e3ac9788b130-df5c-19a94c1-acd6-7575,Condo For Sale in Bel-Air,"Bel-Air, Makati",60000.0,2,2,makati,condo
019a945a-3ef0-75ff-a9a3-e45f858d9219,https://www.lamudi.com.ph/property/41032-73-e45f858d9262-3f39-19a94a3-a9ec-7648,Condo For Rent in Makati,"Makati, Metro Manila",70000.0,2,2,makati,condo
019a92e6-dcfe-779e-871e-1a6d329511cc,https://www.lamudi.com.ph/property/41032-73-1a6d32951215-dd47-19a932f-8767-77e7,Condo For Rent in Bel-Air,"Bel-Air, Makati",46000.0,1,,makati,condo
019a92cd-a891-7424-a6fa-141c916c64c7,https://www.lamudi.com.ph/property/41032-73-141c916c6510-a8da-19a9316-a743-746d,Condo For Rent in Bel-Air,"Bel-Air, Makati",140000.0,2,,makati,condo
019a92c0-6815-733b-82a4-525f59f3ac33,https://www.lamudi.com.ph/property/41032-73-525f59f3ac7c-685e-19a9309-82ed-7384,Condo For Rent in Bel-Air,"Bel-Air, Makati",75000.0,1,,makati,condo
019a92b9-eade-746b-bb91-eedf18f74d81,https://www.lamudi.com.ph/property/41032-73-eedf18f74dca-eb27-19a9302-bbda-74b4,Condo For Rent in Bel-Air,"Bel-Air, Makati",35000.0,1,,makati,condo
